Obs. Date,Obs. value,Series key,Indicator title,Units,Obs. status
2001-11,317.39,BSI.M.U2.N.C.L10.X.1.Z5.0000.Z01.E,Liabilities - Total liabilities - Currency in circulation,EUR billions,A
2001-12,342.36,BSI.M.U2.N.C.L20.A.1.U2.1000.Z01.E,Liabilities - Total liabilities - Deposits of euro area residents - MFIs,EUR billions,A
2001-12,285.87,BSI.M.U2.N.C.L10.X.1.Z5.0000.Z01.E,Liabilities - Total liabilities - Currency in circulation,EUR billions,A
2002-01,284.68,BSI.M.U2.N.C.L20.A.1.U2.1000.Z01.E,Liabilities - Total liabilities - Deposits of euro area residents - MFIs,EUR billions,A
2002-01,339.73,BSI.M.U2.N.C.L10.X.1.Z5.0000.Z01.E,Liabilities - Total liabilities - Currency in circulation,EUR billions,A
2002-02,282.34,BSI.M.U2.N.C.L20.A.1.U2.1000.Z01.E,Liabilities - Total liabilities - Deposits of euro area residents - MFIs,EUR billions,A
2002-02,308.22,BSI.M.U2.N.C.L10.X.1.Z5.0000.Z01.E,Liabilities - Total liabilities - Currency in circulation,EUR billions,A
2002-03,282.41,BSI.M.U2.N.C.L20.A.1.U2.1000.Z01.E,Liabilities - Total liabilities - Deposits of euro area residents - MFIs,EUR billions,A
2002-03,309.14,BSI.M.U2.N.C.L10.X.1.Z5.0000.Z01.E,Liabilities - Total liabilities - Currency in circulation,EUR billions,A
2002-04,254.84,BSI.M.U2.N.C.L20.A.1.U2.1000.Z01.E,Liabilities - Total liabilities - Deposits of euro area residents - MFIs,EUR billions,A
2002-04,311.24,BSI.M.U2.N.C.L10.X.1.Z5.0000.Z01.E,Liabilities - Total liabilities - Currency in circulation,EUR billions,A
2002-05,268.44,BSI.M.U2.N.C.L20.A.1.U2.1000.Z01.E,Liabilities - Total liabilities - Deposits of euro area residents - MFIs,EUR billions,A
2002-05,319.57,BSI.M.U2.N.C.L10.X.1.Z5.0000.Z01.E,Liabilities - Total liabilities - Currency in circulation,EUR billions,A
2002-06,285.23,BSI.M.U2.N.C.L20.A.1.U2.1000.Z01.E,Liabilities - Total liabilities - Deposits of euro area residents - MFIs,EUR billions,A
2002-06,329.2,BSI.M.U2.N.C.L10.X.1.Z5.0000.Z01.E,Liabilities - Total liabilities - Currency in circulation,EUR billions,A
